	table	column	data_type	nullable	description
0	diagnosis	diagnosis_id	text	False	The logical identifier of the entity in the repository, e.g. a UUID. This id is unique within a given system. The identified entity may have a different id in a different system.
1	diagnosis	age_at_diagnosis	integer	True	The age in days of the individual at the time of diagnosis.
2	diagnosis	grade	text	True	The degree of abnormality of cancer cells, a measure of differentiation, the extent to which cancer cells are similar in appearance and function to healthy cells of the same tissue type. The degree of differentiation often relates to the clinical behavior of the particular tumor. Based on the microscopic findings, tumor grade is commonly described by one of four degrees of severity. Histopathologic grade of a tumor may be used to plan treatment and estimate the future course, outcome, and overall prognosis of disease. Certain types of cancers, such as soft tissue sarcoma, primary brain tumors, lymphomas, and breast have special grading systems.
3	diagnosis	method_of_diagnosis	text	True	The method used to confirm the subjects malignant diagnosis.
4	diagnosis	morphology	text	True	Code that represents the histology of the disease using the third edition of the International Classification of Diseases for Oncology, published in 2000, used principally in tumor and cancer registries for coding the site (topography) and the histology (morphology) of neoplasms.
5	diagnosis	primary_diagnosis	text	True	The diagnosis instance that qualified a subject for inclusion on a ResearchProject.
6	diagnosis	stage	text	True	The extent of a cancer in the body. Staging is usually based on the size of the tumor, whether lymph nodes contain cancer, and whether the cancer has spread from the original site to other parts of the body.
7	file	file_id	text	False	The logical identifier of the entity in the repository, e.g. a UUID. This id is unique within a given system. The identified entity may have a different id in a different system.
8	file	byte_size	bigint	True	Size of the file in bytes. Maps to dcat:byteSize.
9	file	checksum	text	True	A digit representing the sum of the correct digits in a piece of stored or transmitted digital data, against which later comparisons can be made to detect errors in the data.
10	file	data_category	text	True	Broad categorization of the contents of the data file.
11	file	data_modality	text	True	Data modality describes the biological nature of the information gathered as the result of an Activity, independent of the technology or methods used to produce the information.
12	file	data_type	text	True	Specific content type of the data file.
13	file	dbgap_accession_number	text	True	The dbgap accession number for the project.
14	file	drs_uri	text	True	A string of characters used to identify a resource on the Data Repo Service(DRS).
15	file	file_format	text	True	Format of the data files.
16	file	imaging_modality	text	True	An imaging modality describes the imaging equipment and/or method used to acquire certain structural or functional information about the body. These include but are not limited to computed tomography (CT) and magnetic resonance imaging (MRI). Taken from the DICOM standard.
17	file	imaging_series	text	True	The logical identifier of the series or grouping of imaging files in the system of record which the file is a part of.
18	file	label	text	True	Short name or abbreviation for dataset. Maps to rdfs:label.
19	researchsubject	researchsubject_id	text	False	The logical identifier of the entity in the system of record, e.g. a UUID. This id is unique within a given system. The identified entity may have a different id in a different system. For CDA, this is case_id.
20	researchsubject	member_of_research_project	text	True	A reference to the Study(s) of which this ResearchSubject is a member.
21	researchsubject	primary_diagnosis_condition	text	True	The text term used to describe the type of malignant disease, as categorized by the World Health Organizations (WHO) International Classification of Diseases for Oncology (ICD-O). This attribute represents the disease that qualified the subject for inclusion on the ResearchProject.
