,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
0,Malignant rhabdoid tumor,Complex Mixed and Stromal Neoplasms,Liver and intrahepatic bile ducts
1,"Clear cell adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
2,Not specified in data,"Sarcoma, NOS",Liver
3,"Hepatocellular carcinoma, clear cell type",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
4,"Neuroblastoma, NOS",Neuroepitheliomatous Neoplasms,Liver and intrahepatic bile ducts
5,Kupffer cell sarcoma,Blood Vessel Tumors,Liver and intrahepatic bile ducts
6,Not specified in data,Embryonal sarcoma,Liver
7,Embryonal Rhabdomyosarcoma,Embryonal sarcoma,Liver
8,"Adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
9,"Hepatocellular carcinoma, spindle cell variant",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
10,,Hepatocellular Carcinoma ,Liver
11,Neuroblastoma,"Neuroblastoma, NOS",Liver
12,Hepatoblastoma,Complex Mixed and Stromal Neoplasms,Liver and intrahepatic bile ducts
13,Hepatoblastoma,Miscellaneous Tumors,Liver and intrahepatic bile ducts
14,Cholangiocarcinoma,Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
15,"Hepatocellular carcinoma, NOS",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
16,"Hepatocellular carcinoma, fibrolamellar",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
17,Combined hepatocellular carcinoma and cholangiocarcinoma,Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts
