,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
0,"Germ cell tumor, NOS",Germ Cell Neoplasms,"Heart, mediastinum, and pleura"
1,"Mesothelioma, NOS",Mesothelial Neoplasms,"Heart, mediastinum, and pleura"
2,"Epithelioid mesothelioma, malignant",Mesothelial Neoplasms,"Heart, mediastinum, and pleura"
3,"Mesothelioma, biphasic, malignant",Mesothelial Neoplasms,"Heart, mediastinum, and pleura"
4,"Mesothelioma, malignant",Mesothelial Neoplasms,"Heart, mediastinum, and pleura"
5,"Neuroblastoma, NOS",Neuroepitheliomatous Neoplasms,"Heart, mediastinum, and pleura"
6,"Thymoma, type B2, malignant",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
7,Neuroblastoma,"Neuroblastoma, NOS","Heart, mediastinum, and pleura"
8,"Thymoma, type A, malignant",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
9,Ganglioneuroblastoma,Neuroepitheliomatous Neoplasms,"Heart, mediastinum, and pleura"
10,"Thymoma, type AB, NOS",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
11,"Thymoma, type AB, malignant",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
12,Desmoplastic/Nodular Medulloblastoma,"Sarcoma, NOS","Connective, subcutaneous and other soft tissues of thorax (excludes thymus C37.9, heart and mediastinum C38._)"
13,Not specified in data,"Sarcoma, NOS","Connective, subcutaneous and other soft tissues of thorax (excludes thymus C37.9, heart and mediastinum C38._)"
14,Neuroblastoma,Miscellaneous Tumors,"Heart, mediastinum, and pleura"
15,"Extra-adrenal paraganglioma, malignant",Paragangliomas and Glomus Tumors,"Heart, mediastinum, and pleura"
16,"Thymoma, type B1, malignant",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
17,"Thymoma, type B3, malignant",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
18,"Thymic carcinoma, NOS",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
19,"Malignant lymphoma, large B-cell, diffuse, NOS",Mature B-Cell Lymphomas,"Heart, mediastinum, and pleura"
20,"Extra-adrenal paraganglioma, NOS",Paragangliomas and Glomus Tumors,"Heart, mediastinum, and pleura"
21,Angiosarcoma,"Soft Tissue Tumors and Sarcomas, NOS","Heart, mediastinum, and pleura"
22,"Thymoma, type B2, NOS",Thymic Epithelial Neoplasms,"Heart, mediastinum, and pleura"
23,"Fibrous mesothelioma, malignant",Mesothelial Neoplasms,"Heart, mediastinum, and pleura"
24,Not specified in data,"Malignant tumor, spindle cell type","Connective, subcutaneous and other soft tissues of thorax (excludes thymus C37.9, heart and mediastinum C38._)"
