,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
0,"Chondrosarcoma, NOS",Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
1,"Osteosarcoma, NOS",Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
2,Ewing sarcoma,Miscellaneous Bone Tumors,"Bones, joints and articular cartilage of other and unspecified sites"
3,"Osteosarcoma, NOS",Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of limbs"
4,"Chordoma, NOS",Miscellaneous Tumors,"Bones, joints and articular cartilage of other and unspecified sites"
5,Not specified in data,"Neoplasm, uncertain whether benign or malignant","Pelvic bones, sacrum, coccyx and associated joints"
6,High grade surface osteosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
7,Undifferentiated sarcoma,"Soft Tissue Tumors and Sarcomas, NOS","Bones, joints and articular cartilage of other and unspecified sites"
8,Rhabdomyosarcoma,"Rhabdomyosarcoma, NOS","Bone, NOS"
9,Myxoid chondrosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
10,"Neuroblastoma, NOS",Neuroepitheliomatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
11,Chondroblastic osteosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
12,Round to spindle cell sarcoma,Spindle cell sarcoma,Long bones of lower limb and associated joints
13,Intraosseous well differentiated osteosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
14,Not specified in data,"Rhabdomyosarcoma, NOS","Bone, NOS"
15,Clear cell odontogenic carcinoma,Odontogenic Tumors,"Bones, joints and articular cartilage of other and unspecified sites"
16,Mesenchymal chondrosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
17,Dedifferentiated chondrosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
18,Not specified in data,Spindle cell sarcoma,Long bones of lower limb and associated joints
19,Not specified in data,"Osteosarcoma, NOS","Long bones of upper limb, scapula and  associated joints"
20,Fibroblastic osteosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
21,"Odontogenic tumor, malignant",Odontogenic Tumors,"Bones, joints and articular cartilage of other and unspecified sites"
22,"Neoplasm, malignant","Neoplasms, NOS","Bones, joints and articular cartilage of other and unspecified sites"
23,Myofibroma,Myofibroma,Bones of skull and face and associated joints (excludes mandible C41.1)
24,"Sarcoma, NOS",Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
25,Not specified in data,"Synovial sarcoma, NOS",Long bones of lower limb and associated joints
26,"Neuroblastoma, NOS",Neuroepitheliomatous Neoplasms,"Bones, joints and articular cartilage of limbs"
27,"Squamous cell carcinoma, NOS",Squamous Cell Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
28,Osteosarcoma in Paget disease of bone,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
29,"Leiomyosarcoma, NOS",Myomatous Neoplasms,"Bones, joints and articular cartilage of limbs"
30,Not specified in data,"Chordoma, NOS",Bones of skull and face and associated joints (excludes mandible C41.1)
31,"Malignant lymphoma, large B-cell, diffuse, NOS",Mature B-Cell Lymphomas,"Bones, joints and articular cartilage of other and unspecified sites"
32,Not Reported,"Soft Tissue Tumors and Sarcomas, NOS","Bones, joints and articular cartilage of other and unspecified sites"
33,Not specified in data,"Precursor cell lymphoblastic leukemia, NOS",Bone marrow
34,Small cell osteosarcoma,Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
35,Not specified in data,Myofibroma,Bones of skull and face and associated joints (excludes mandible C41.1)
36,Not specified in data,Pleomorphic liposarcoma,Long bones of lower limb and associated joints
37,"Tumor, NOS","Neoplasms, NOS","Bones, joints and articular cartilage of other and unspecified sites"
38,Not specified in data,Undifferentiated sarcoma,Bones of skull and face and associated joints (excludes mandible C41.1)
39,Pleomorphic Sarcoma,Pleomorphic liposarcoma,Long bones of lower limb and associated joints
40,"Chondroblastoma, NOS",Osseous and Chondromatous Neoplasms,"Bones, joints and articular cartilage of other and unspecified sites"
41,Undifferential small round blue cell tumor,Undifferentiated sarcoma,Bones of skull and face and associated joints (excludes mandible C41.1)
42,"Giant cell tumor of bone, NOS",Giant Cell Tumors,"Bones, joints and articular cartilage of other and unspecified sites"
