,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
0,"Adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Colon
1,Mucinous adenocarcinoma,"Cystic, Mucinous and Serous Neoplasms",Colon
2,Goblet cell carcinoid,Adenomas and Adenocarcinomas,Colon
3,"Medullary carcinoma, NOS",Ductal and Lobular Neoplasms,Colon
4,"Adenocarcinoma, NOS",Colon Adenocarcinoma,Colon
5,Mucinous carcinoma,"Cystic, Mucinous and Serous Neoplasms",Colon
6,Signet ring cell carcinoma,"Cystic, Mucinous and Serous Neoplasms",Colon
7,"Neuroendocrine carcinoma, NOS",Adenomas and Adenocarcinomas,Colon
8,"Adenocarcinoma, metastatic, NOS",Adenomas and Adenocarcinomas,Colon
9,"Papillary adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Colon
10,"Adenocarcinoma, NOS","Neoplasms, NOS",Colon
11,Not specified in data,"Adenocarcinoma, NOS","Colon, NOS"
12,Mucinous adenocarcinoma,Colon Adenocarcinoma,Colon
13,"Tubulovillous adenoma, NOS",Adenomas and Adenocarcinomas,Colon
14,"Tubular adenoma, NOS",Adenomas and Adenocarcinomas,Colon
15,"Carcinoid tumor, NOS",Adenomas and Adenocarcinomas,Colon
16,"Tumor, NOS","Neoplasms, NOS",Colon
17,Adenocarcinoma,Epithelial Neoplasm,Colon
18,Adenocarcinoma with mixed subtypes,Adenomas and Adenocarcinomas,Colon
19,Serrated adenoma,Adenomas and Adenocarcinomas,Colon
20,Neoplasm,Neoplasm,Colon
21,Not Reported,"Neoplasms, NOS",Colon
22,"Carcinoma, NOS","Epithelial Neoplasms, NOS",Colon
23,"Small cell carcinoma, NOS","Neoplasms, NOS",Colon
24,Mucinous adenocarcinoma,"Neoplasms, NOS",Colon
25,Well to moderately differentiated colonic adenocarcinoma,"Adenocarcinoma, NOS","Colon, NOS"
26,Transitional cell carcinoma,Adenomas and Adenocarcinomas,Colon
27,"Adenocarcinoma in situ, NOS",Adenomas and Adenocarcinomas,Colon
28,"Adenocarcinoma, intestinal type",Adenomas and Adenocarcinomas,Colon
29,"Malignant lymphoma, large B-cell, diffuse, NOS",Mature B-Cell Lymphomas,Colon
30,Adenocarcinoma with neuroendocrine differentiation,Complex Epithelial Neoplasms,Colon
31,Not Reported,Adenomas and Adenocarcinomas,Colon
32,"Adenocarcinoma, NOS","Cystic, Mucinous and Serous Neoplasms",Colon
33,Dedifferentiated liposarcoma,Lipomatous Neoplasms,Colon
34,Adenosquamous carcinoma,Complex Epithelial Neoplasms,Colon
35,Adenosquamous carcinoma,Colon Adenocarcinoma,Colon
