,primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site
0,Yolk sac tumor,Germ Cell Neoplasms,Brain
1,Low grade glial neoplasm,Pilocytic astrocytoma,"Brain, NOS"
2,Cerebellopontine angle tumor,"Neoplasm, benign","Brain, NOS"
3,Embryonal tumor,"Glioblastoma, NOS",Overlapping lesion of brain and central nervous system
4,Atypical Teratoid/Rhabdoid Tumor,Miscellaneous Tumors,Brain
5,Brain Tumor,"Neoplasm, malignant","Brain, NOS"
6,Poorly differentiated malignant neoplasm with sarcomatoid features,"Neoplasm, malignant","Brain, NOS"
7,Neoplasm,"Sarcoma, NOS",Overlapping lesion of brain
8,Germinoma,Germ Cell Neoplasms,Brain
9,"Neoplasm, uncertain whether benign or malignant","Neoplasms, NOS",Brain
10,Glial Neoplasm,"Glioma, malignant","Brain, NOS"
11,Anaplastic Ganglioglioma,Gliomas,Brain
12,Low-grade glial/glioneuronal tumor,"Ganglioglioma, NOS","Brain, NOS"
13,Ganglioglioma,"Ganglioglioma, NOS","Brain, NOS"
14,Diffuse Glioma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
15,Pineoblastoma,"Glioma, malignant","Brain, NOS"
16,"Malignant lymphoma, NOS","Malignant Lymphomas, NOS or Diffuse",Brain
17,Dysembryoplastic Neuroepithelial Tumor,Dysembryoplastic neuroepithelial tumor,"Brain, NOS"
18,Glioblastoma multiforme,"Neoplasms, NOS",Brain
19,Papillary glioneuronal tumor,Neuroepitheliomatous Neoplasms,Brain
20,Adamantinomatous Craniopharyngioma,Craniopharyngioma,"Brain, NOS"
21,Diffuse Glioma,"Glioma, malignant","Brain, NOS"
22,Glial Neoplasm,Craniopharyngioma,"Brain, NOS"
23,Brain Tumor,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
24,Non-WNT/non-SHH medulloblastoma,"Medulloblastoma, NOS","Brain, NOS"
25,Atypical Teratoid/Rhabdoid Tumor,Atypical teratoid/rhabdoid tumor,"Brain, NOS"
26,Choroid Plexus Papillary Tumor,"Choroid plexus papilloma, NOS","Brain, NOS"
27,Glial tumor,"Glioma, malignant","Brain, NOS"
28,Glial Neoplasm,Pilocytic astrocytoma,"Brain, NOS"
29,Diffuse astrocytoma,"Astrocytoma, NOS","Brain, NOS"
30,"Teratoma, benign",Germ Cell Neoplasms,Brain
31,Choroid plexus carcinoma,Choroid plexus carcinoma,"Brain, NOS"
32,Low grade neuroepithelial tumor,Astroblastoma,"Brain, NOS"
33,Neoplasm,"Glioblastoma, NOS","Brain, NOS"
34,Supratentorial choroid plexus papilloma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
35,Neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
36,"Embryonal carcinoma, NOS",Germ Cell Neoplasms,Brain
37,Primary central nervous system neoplasm consistent with high grade glioma,"Glioma, malignant","Brain, NOS"
38,High-grade Central Nervous System Neoplasm Favor Embryonal,"Medulloblastoma, NOS",Brain stem
39,Neuroepithelial Tumor,"Glioma, malignant","Brain, NOS"
40,Glioneuronal lesion,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
41,Glioneuronal tumor,"Glioma, malignant","Brain, NOS"
42,Astrocytoma,Pilocytic astrocytoma,"Brain, NOS"
43,Adamantinomatous Craniopharyngioma,"Craniopharyngioma, adamantinomatous","Brain, NOS"
44,Glial-neuronal neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
45,"Malignant lymphoma, large B-cell, diffuse, NOS",Mature B-Cell Lymphomas,Brain
46,Malignant glioma,Gliomas,Brain
47,Neuroepithelial Tumor,"Neoplasm, malignant","Brain, NOS"
48,Small round blue cell tumor,"Medulloblastoma, NOS","Brain, NOS"
49,Low grade glioneuronal neoplasm,Dysembryoplastic neuroepithelial tumor,"Brain, NOS"
50,Anaplastic medulloblastoma,"Medulloblastoma, NOS","Brain, NOS"
51,Atypical Teratoid/Rhabdoid Tumor,"Rhabdoid tumor, NOS",Brain stem
52,Diffuse Glioma,"Astrocytoma, NOS","Brain, NOS"
53,Brain Tumor,"Glioma, malignant","Brain, NOS"
54,Low grade neuroglial tumor,"Neoplasm, benign","Brain, NOS"
55,Neuroepithelial neoplasm,"Glioma, malignant","Brain, NOS"
56,Low grade glial neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
57,Brain Tumor,Pilocytic astrocytoma,"Brain, NOS"
58,Posterior fossa group A ependymoma,"Ependymoma, NOS","Brain, NOS"
59,Astrocytoma,"Astrocytoma, NOS","Brain, NOS"
60,Embryonal Neoplasm,"Neoplasm, malignant","Brain, NOS"
61,Suprasellar mass,Pilocytic astrocytoma,"Brain, NOS"
62,Myxoid Glioneuronal tumor,"Neoplasm, benign","Brain, NOS"
63,Angiocentric Glioma,"Glioma, malignant","Brain, NOS"
64,Pure germinoma,Mixed germ cell tumor,"Brain, NOS"
65,Atypical choroid plexus papilloma,Atypical choroid plexus papilloma,"Brain, NOS"
66,Unknown,Gliomas,Brain
67,CNS Embryonal Tumor,Miscellaneous Tumors,Brain
68,High-grade tumor,"Neoplasm, malignant","Brain, NOS"
69,Embryonal Neoplasm,"Medulloblastoma, NOS","Brain, NOS"
70,"Malignant embryonal tumor, favor medulloblastoma",Large cell medulloblastoma,"Brain, NOS"
71,Glial Neoplasm,Subependymal giant cell astrocytoma,"Brain, NOS"
72,Glial Neoplasm,"Astrocytoma, NOS","Brain, NOS"
73,Neoplasm,"Neoplasm, malignant","Brain, NOS"
74,Anaplastic Ependymoma,"Ependymoma, anaplastic","Brain, NOS"
75,Astrocytoma,"Glioma, malignant","Brain, NOS"
76,Glial Neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
77,Oligoastrocytoma,Gliomas,Brain
78,High-grade Central Nervous System Neoplasm Favor Embryonal,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
79,Choroid Plexus Papillary Tumor,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
80,Cerebellopontine angle tumor,"Astrocytoma, NOS","Brain, NOS"
81,Astrocytoma,"Astrocytoma, anaplastic","Brain, NOS"
82,Anaplastic Ependymoma,"Unknown, to be completed later","Brain, NOS"
83,Thalamic brain tumor,"Glioma, malignant",Brain stem
84,Glial-neuronal neoplasm,"Glioma, malignant","Brain, NOS"
85,Atypical Teratoid/Rhabdoid Tumor,Atypical teratoid/rhabdoid tumor,Brain stem
86,Atypical epithelial neoplasm,Choroid plexus carcinoma,"Brain, NOS"
87,Glial Neoplasm,"Ependymoma, NOS","Brain, NOS"
88,4th ventricular brain tumor,"CNS embryonal tumor, NOS","Brain, NOS"
89,Glial Neoplasm,"Tumor cells, uncertain whether benign or malignant","Brain, NOS"
90,High-grade Ependymal Neoplasm,"Ependymoma, NOS","Brain, NOS"
91,Infant hemispheric glioma,"Glioma, malignant","Brain, NOS"
92,Posterior fossa ependymoma,"Tumor cells, uncertain whether benign or malignant","Brain, NOS"
93,Low-grade glial neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
94,Germinoma,Germinoma,"Brain, NOS"
95,Pleomorphic xanthoastrocytoma,Pleomorphic xanthoastrocytoma,"Brain, NOS"
96,Clear cell meningioma,Miscellaneous Tumors,Brain
97,Mesenchymal Neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
98,Glioblastoma multiforme,Gliomas,Brain
99,Brain Tumor,"Neoplasm, benign","Brain, NOS"
100,Mixed germ cell w/ matrue teratoma,Mixed germ cell tumor,"Brain, NOS"
101,Cellular ependymoma,"Ependymoma, NOS","Brain, NOS"
102,Posterior fossa ependymoma,"Ependymoma, NOS","Brain, NOS"
103,Pituitary tumor,"Craniopharyngioma, adamantinomatous","Brain, NOS"
104,Low-grade Glioma,"Glioma, malignant","Brain, NOS"
105,Brain Tumor,"Ependymoma, NOS",Overlapping lesion of brain and central nervous system
106,Brain Tumor,"Glioma, malignant",Overlapping lesion of brain
107,Posterior fossa ependymoma,"Neoplasm, malignant","Brain, NOS"
108,Embryonal tumor,"Medulloblastoma, NOS","Brain, NOS"
109,Cerebellar mass,Pineoblastoma,"Brain, NOS"
110,Neuroepithelial neoplasm,"Glioma, malignant",Overlapping lesion of brain
111,Primitive neuroectoderma tumor,"Tumor cells, uncertain whether benign or malignant","Brain, NOS"
112,Pleomorphic xanthoastrocytoma,"Astrocytoma, NOS","Brain, NOS"
113,Neoplasm,"Glioma, malignant","Brain, NOS"
114,Posterior fossa tumor,"Medulloblastoma, NOS","Brain, NOS"
115,Meningioma,"Meningioma, malignant","Brain, NOS"
116,Low grade glioneuronal tumor,Dysembryoplastic neuroepithelial tumor,"Brain, NOS"
117,Atypical central neurocytoma,Central neurocytoma,"Brain, NOS"
118,CNS primative neuroectodermal tumor (PNET),Miscellaneous Tumors,Brain
119,Low-grade glial/glioneuronal neoplasm,"Unknown, to be completed later","Brain, NOS"
120,High-grade blue cell tumor,"Medulloblastoma, NOS","Brain, NOS"
121,Schwannoma,"Neurofibromatosis, NOS","Brain, NOS"
122,Supratentorial choroid plexus papilloma,"Ependymoma, NOS","Brain, NOS"
123,Posterior fossa ependymoma,"Ependymoma, NOS",Brain stem
124,Posterior fossa tumor,"Astrocytoma, NOS","Brain, NOS"
125,Posterior fossa ependymoma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
126,Neuroepithelial neoplasm,"Medulloblastoma, NOS","Brain, NOS"
127,Embryonal tumor,"CNS embryonal tumor, NOS","Brain, NOS"
128,Low grade glial neoplasm,"Astrocytoma, NOS","Brain, NOS"
129,Ganglioglioma,"Neoplasm, malignant","Brain, NOS"
130,Atypical Teratoid/Rhabdoid Tumor,Atypical teratoid/rhabdoid tumor,Overlapping lesion of brain
131,Subependymal giant cell astrocytoma,"Glioma, malignant","Brain, NOS"
132,Embryonal tumor,"Neoplasm, benign","Brain, NOS"
133,Diffuse Glioma,"Glioma, malignant",Brain stem
134,Cerebellar tumor,Pilocytic astrocytoma,"Brain, NOS"
135,Brain Tumor,"Glioma, malignant",Brain stem
136,Low-grade Glial Neoplasm,"Glioma, malignant","Brain, NOS"
137,Atypical Teratoid/Rhabdoid Tumor,"Neoplasm, malignant","Brain, NOS"
138,Neuroepithelial Tumor,Pilocytic astrocytoma,"Brain, NOS"
139,Piloid glial proliferation,"Glioma, malignant",Brain stem
140,Polymorphous low grade neuroepithelial tumor,"Ganglioglioma, NOS","Brain, NOS"
141,"Teratoma, malignant, NOS",Germ Cell Neoplasms,Brain
142,Central Nervous System Tumor with High Grade Histological Features,Astroblastoma,Overlapping lesion of brain
143,Neoplasm,"Unknown, to be completed later","Brain, NOS"
144,Intraventricular tumor,"Glioma, malignant","Brain, NOS"
145,Neurofibromatosis; Moderately cellular neoplasm,"Glioma, malignant","Brain, NOS"
146,Low-grade glial neoplasm,"Glioma, malignant","Brain, NOS"
147,Glial Neoplasm,"Glioma, malignant",Brain stem
148,Supratentorial Ependymoma,"Neoplasm, malignant","Brain, NOS"
149,Infiltrating glioma,"Glioma, malignant","Brain, NOS"
150,Brain Tumor,"Medulloblastoma, NOS","Brain, NOS"
151,Small Round Blue Cell Sarcoma,"CNS embryonal tumor, NOS","Brain, NOS"
152,Round blue cell tumor,"Medulloblastoma, NOS","Brain, NOS"
153,Astrocytic Glioma,Pilocytic astrocytoma,"Brain, NOS"
154,Supratentorial choroid plexus papilloma,"Choroid plexus papilloma, NOS","Brain, NOS"
155,Astrocytoma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
156,Embryonal tumor,"Neoplasm, metastatic","Brain, NOS"
157,Brain Tumor,"Unknown, to be completed later","Brain, NOS"
158,Histiocytic malignancy,"Neoplasm, benign","Brain, NOS"
159,Gliosarcoma,Gliomas,Brain
160,Classic Medulloblastoma,"Tumor cells, uncertain whether benign or malignant","Brain, NOS"
161,Pineal parenchymal tumor,Pinealoma,"Brain, NOS"
162,Neuroepithelial Tumor,"Neoplasm, uncertain whether benign or malignant","Brain, NOS"
163,Posterior fossa ependymoma,"Ependymoma, anaplastic","Brain, NOS"
164,Diffuse Glioma,"Neoplasm, malignant","Brain, NOS"
165,Astrocytic Glioma,"Unknown, to be completed later","Brain, NOS"
