primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site,ncit_term,ncit_id
Malignant rhabdoid tumor,Complex Mixed and Stromal Neoplasms,Liver and intrahepatic bile ducts,Extrarenal Rhabdoid Tumor of the Liver,NCIT:C96847
"Clear cell adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Clear Cell Hepatocellular Carcinoma,NCIT:C5754
Not specified in data,"Sarcoma, NOS",Liver,Liver Sarcoma,NCIT:C4437
"Hepatocellular carcinoma, clear cell type",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Hepatocellular Carcinoma,NCIT:C3099
Kupffer cell sarcoma,Blood Vessel Tumors,Liver and intrahepatic bile ducts,Liver Angiosarcoma,NCIT:C4438
Not specified in data,Embryonal sarcoma,Liver,Liver Embryonal Sarcoma,NCIT:C27096
"Adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Liver and Intrahepatic Bile Duct Carcinoma,NCIT:C7927
"Hepatocellular carcinoma, spindle cell variant",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Sarcomatoid Hepatocellular Carcinoma,NCIT:C43627
Neuroblastoma,"Neuroblastoma, NOS",Liver,Neuroblastoma,NCIT:C3270
Cholangiocarcinoma,Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Intrahepatic Cholangiocarcinoma,NCIT:C35417
"Hepatocellular carcinoma, NOS",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Hepatocellular Carcinoma,NCIT:C3099
"Hepatocellular carcinoma, fibrolamellar",Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Fibrolamellar Carcinoma,NCIT:C4131
Combined hepatocellular carcinoma and cholangiocarcinoma,Adenomas and Adenocarcinomas,Liver and intrahepatic bile ducts,Combined Hepatocellular Carcinoma and Cholangiocarcinoma,NCIT:C3828
