primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site,ncit_term,ncit_id
"Squamous cell carcinoma, NOS",Squamous Cell Neoplasms,Bronchus and lung,Lung Squamous Cell Carcinoma,NCIT:C3493
"Adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Bronchus and lung,Lung Adenocarcinoma,NCIT:C3512
"Small cell carcinoma, NOS","Epithelial Neoplasms, NOS",Bronchus and lung,Lung Small Cell Carcinoma,NCIT:C4917
Non-small cell carcinoma,"Epithelial Neoplasms, NOS",Bronchus and lung,Lung Non-Small Cell Carcinoma,NCIT:C2926
Large cell neuroendocrine carcinoma,"Epithelial Neoplasms, NOS",Bronchus and lung,Lung Large Cell Neuroendocrine Carcinoma,NCIT:C5672
Atypical carcinoid tumor,Adenomas and Adenocarcinomas,Bronchus and lung,Lung Neuroendocrine Tumor G2,NCIT:C45551
Adenosquamous carcinoma,Complex Epithelial Neoplasms,Bronchus and lung,Lung Adenosquamous Carcinoma,NCIT:C9133
"Carcinoid tumor, NOS",Adenomas and Adenocarcinomas,Bronchus and lung,Lung Neuroendocrine Tumor,NCIT:C4038
"Adenocarcinoma, NOS",Lung Adenocarcinoma,Bronchus and lung,Lung Adenocarcinoma,NCIT:C3512
Adenocarcinoma,Lung Adenocarcinoma,Lung,Lung Adenocarcinoma,NCIT:C3512
"Squamous cell carcinoma, NOS",Lung Squamous Cell Carcinoma,Bronchus and lung,Lung Squamous Cell Carcinoma,NCIT:C3493
"Solid carcinoma, NOS",Lung Adenocarcinoma,Bronchus and lung,Solid Lung Adenocarcinoma,NCIT:C5651
"Papillary adenocarcinoma, NOS",Lung Adenocarcinoma,Bronchus and lung,Lung Papillary Adenocarcinoma,NCIT:C5650
"Micropapillary carcinoma, NOS",Adenomas and Adenocarcinomas,Bronchus and lung,Lung Micropapillary Adenocarcinoma,NCIT:C128847
Adenocarcinoma with mixed subtypes,Adenomas and Adenocarcinomas,Bronchus and lung,"Lung Adenocarcinoma, Mixed Subtype",NCIT:C45508
Papillary squamous cell carcinoma,Squamous Cell Neoplasms,Bronchus and lung,"Lung Squamous Cell Carcinoma, Papillary Variant",NCIT:C45502
"Solid carcinoma, NOS",Adenomas and Adenocarcinomas,Bronchus and lung,Solid Lung Adenocarcinoma,NCIT:C5651
Sarcomatoid carcinoma,"Epithelial Neoplasms, NOS",Bronchus and lung,Lung Sarcomatoid Carcinoma,NCIT:C45540
Lepidic adenocarcinoma,Lung Adenocarcinoma,Bronchus and lung,Lepidic Adenocarcinoma,NCIT:C123160
Combined small cell carcinoma,"Epithelial Neoplasms, NOS",Bronchus and lung,Combined Small and Large Cell Lung Carcinoma,NCIT:C9424
"Large cell carcinoma, NOS","Epithelial Neoplasms, NOS",Bronchus and lung,Lung Large Cell Carcinoma,NCIT:C4450
Pseudosarcomatous carcinoma,"Epithelial Neoplasms, NOS",Bronchus and lung,Lung Sarcomatoid Carcinoma,NCIT:C45540
"Neoplasm, malignant","Neoplasms, NOS",Bronchus and lung,Malignant Lung Neoplasm,NCIT:C7377
Invasive mucinous adenocarcinoma,Lung Adenocarcinoma,Bronchus and lung,Invasive Lung Mucinous Adenocarcinoma,NCIT:C136709
Neuroblastoma,"Neuroblastoma, NOS",Bronchus and lung,Neuroblastoma,NCIT:C3270
"Papillary adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Bronchus and lung,Lung Papillary Adenocarcinoma,NCIT:C5650
"Adenocarcinoma in situ, NOS",Adenomas and Adenocarcinomas,Bronchus and lung,Lung Adenocarcinoma In Situ,NCIT:C136486
