primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site,ncit_term,ncit_id
"Renal cell carcinoma, NOS",Adenomas and Adenocarcinomas,Kidney,"Renal Cell Carcinoma, Not Otherwise Specified",NCIT:C191370
"Urothelial carcinoma, NOS",Transitional Cell Papillomas and Carcinomas,Kidney,Urothelial Carcinoma,NCIT:C4030
"Carcinoma, NOS","Epithelial Neoplasms, NOS",Kidney,Kidney Carcinoma,NCIT:C9384
"Clear cell adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Kidney,Clear Cell Renal Cell Carcinoma,NCIT:C4033
Adrenal cortical carcinoma,Adenomas and Adenocarcinomas,Adrenal gland,Adrenal Cortical Carcinoma,NCIT:C9325
"Medullary carcinoma, NOS",Ductal and Lobular Neoplasms,Kidney,Kidney Medullary Carcinoma,NCIT:C7572
"Nephroblastoma, NOS","Neoplasms, NOS",Kidney,Kidney Wilms Tumor,NCIT:C40407
"Renal cell carcinoma, NOS",Clear Cell Renal Cell Carcinoma,Kidney,Clear Cell Renal Cell Carcinoma,NCIT:C4033
"Neuroblastoma, NOS",Neuroepitheliomatous Neoplasms,Adrenal gland,Adrenal Gland Neuroblastoma,NCIT:C4827
Malignant rhabdoid tumor,Complex Mixed and Stromal Neoplasms,Kidney,Rhabdoid Tumor of the Kidney,NCIT:C8715
Wilms tumor,Complex Mixed and Stromal Neoplasms,Kidney,Mixed Cell Type Kidney Wilms Tumor,NCIT:C9149
"Renal cell carcinoma, chromophobe type",Adenomas and Adenocarcinomas,Kidney,Chromophobe Renal Cell Carcinoma,NCIT:C4146
"Papillary adenocarcinoma, NOS",Adenomas and Adenocarcinomas,Kidney,Renal Cell Carcinoma,NCIT:C9385
"Pheochromocytoma, malignant",Paragangliomas and Glomus Tumors,Adrenal gland,Metastatic Adrenal Gland Pheochromocytoma,NCIT:C4220
Clear cell sarcoma,Epithelial Neoplasm,Kidney,Clear Cell Sarcoma of the Kidney,NCIT:C4264
Neuroblastoma,"Neuroblastoma, NOS",Adrenal Gland,Adrenal Gland Neuroblastoma,NCIT:C4827
Clear cell carcinoma,"Neoplasms, NOS",Kidney,Clear Cell Renal Cell Carcinoma,NCIT:C4033
Clear cell carcinoma,Adenomas and Adenocarcinomas,Kidney,Clear Cell Renal Cell Carcinoma,NCIT:C4033
"Pheochromocytoma, NOS",Paragangliomas and Glomus Tumors,Adrenal gland,Adrenal Gland Pheochromocytoma,NCIT:C3326
Papillary renal cell carcinoma,Adenomas and Adenocarcinomas,Kidney,Papillary Renal Cell Carcinoma,NCIT:C6975
"Nephroblastoma, NOS",Complex Mixed and Stromal Neoplasms,Kidney,Wilms Tumor,NCIT:C3267
Angiomyolipoma,Lipomatous Neoplasms,Kidney,Kidney Angiomyolipoma,NCIT:C3888
"Renal cell carcinoma, NOS",Non-Clear Cell Renal Cell Carcinoma,Kidney,"Renal Cell Carcinoma, Not Otherwise Specified",NCIT:C191370
Ganglioneuroblastoma,Neuroepitheliomatous Neoplasms,Adrenal gland,Adrenal Gland Ganglioneuroblastoma,NCIT:C7646
Collecting duct carcinoma,Adenomas and Adenocarcinomas,Kidney,Collecting Duct Carcinoma,NCIT:C6194
"Renal cell carcinoma, sarcomatoid",Adenomas and Adenocarcinomas,Kidney,Sarcomatoid Renal Cell Carcinoma,NCIT:C27893
Clear cell sarcoma of kidney,Complex Mixed and Stromal Neoplasms,Kidney,Clear Cell Sarcoma of the Kidney,NCIT:C4264
Oncocytoma,Adenomas and Adenocarcinomas,Kidney,Kidney Oncocytoma,NCIT:C4526
