primary_diagnosis,primary_diagnosis_condition,primary_diagnosis_site,ncit_term,ncit_id
Yolk sac tumor,Germ Cell Neoplasms,Brain,Childhood Brain Germ Cell Tumor,NCIT:C5795
Low grade glial neoplasm,Pilocytic astrocytoma,"Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Cerebellopontine angle tumor,"Neoplasm, benign","Brain, NOS",Cerebellopontine Angle Neoplasm,NCIT:C5414
Embryonal tumor,"Glioblastoma, NOS",Overlapping lesion of brain and central nervous system,Glioblastoma,NCIT:C3058
Atypical Teratoid/Rhabdoid Tumor,Miscellaneous Tumors,Brain,Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906
Brain Tumor,"Neoplasm, malignant","Brain, NOS",Malignant Brain Neoplasm,NCIT:C3568
Poorly differentiated malignant neoplasm with sarcomatoid features,"Neoplasm, malignant","Brain, NOS",Central Nervous System Undifferentiated Pleomorphic Sarcoma,NCIT:C129566
Neoplasm,"Sarcoma, NOS",Overlapping lesion of brain,Malignant Neoplasm of Overlapping Sites of Brain,NCIT:C194419
Germinoma,Germ Cell Neoplasms,Brain,Central Nervous System Germ Cell Tumor,NCIT:C5461
"Neoplasm, uncertain whether benign or malignant","Neoplasms, NOS",Brain,"Neoplasm of Uncertain Behavior of Brain, Unspecified",NCIT:C197795
Glial Neoplasm,"Glioma, malignant","Brain, NOS",Malignant Brain Glioma,NCIT:C162993
Anaplastic Ganglioglioma,Gliomas,Brain,Anaplastic Ganglioglioma,NCIT:C4717
Low-grade glial/glioneuronal tumor,"Ganglioglioma, NOS","Brain, NOS",Ganglioglioma,NCIT:C3788
Ganglioglioma,"Ganglioglioma, NOS","Brain, NOS",Ganglioglioma,NCIT:C3788
Diffuse Glioma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS",Diffuse Glioma,NCIT:C129325
"Malignant lymphoma, NOS","Malignant Lymphomas, NOS or Diffuse",Brain,Primary Cerebral Diffuse Large B-Cell Lymphoma,NCIT:C5054
Dysembryoplastic Neuroepithelial Tumor,Dysembryoplastic neuroepithelial tumor,"Brain, NOS",Dysembryoplastic Neuroepithelial Tumor,NCIT:C9505
Glioblastoma multiforme,"Neoplasms, NOS",Brain,Brain Glioblastoma,NCIT:C4642
Papillary glioneuronal tumor,Neuroepitheliomatous Neoplasms,Brain,Papillary Glioneuronal Tumor,NCIT:C92554
Adamantinomatous Craniopharyngioma,Craniopharyngioma,"Brain, NOS",Adamantinomatous Craniopharyngioma,NCIT:C4726
Diffuse Glioma,"Glioma, malignant","Brain, NOS",Diffuse Glioma,NCIT:C129325
Brain Tumor,"Neoplasm, uncertain whether benign or malignant","Brain, NOS","Neoplasm of Uncertain Behavior of Brain, Unspecified",NCIT:C197795
Non-WNT/non-SHH medulloblastoma,"Medulloblastoma, NOS","Brain, NOS","Medulloblastoma, Non-WNT/Non-SHH",NCIT:C129444
Atypical Teratoid/Rhabdoid Tumor,Atypical teratoid/rhabdoid tumor,"Brain, NOS",Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906
Choroid Plexus Papillary Tumor,"Choroid plexus papilloma, NOS","Brain, NOS",Choroid Plexus Papilloma,NCIT:C3698
Glial tumor,"Glioma, malignant","Brain, NOS",Malignant Glioma,NCIT:C4822
Glial Neoplasm,Pilocytic astrocytoma,"Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Diffuse astrocytoma,"Astrocytoma, NOS","Brain, NOS","Diffuse Astrocytoma, Not Otherwise Specified",NCIT:C129277
"Teratoma, benign",Germ Cell Neoplasms,Brain,Central Nervous System Teratoma,NCIT:C5441
Choroid plexus carcinoma,Choroid plexus carcinoma,"Brain, NOS",Choroid Plexus Carcinoma,NCIT:C4715
Low grade neuroepithelial tumor,Astroblastoma,"Brain, NOS","Astroblastoma, MN1-Altered",NCIT:C4324
Neoplasm,"Glioblastoma, NOS","Brain, NOS","Glioblastoma, Not Otherwise Specified",NCIT:C129295
Supratentorial choroid plexus papilloma,"Neoplasm, uncertain whether benign or malignant","Brain, NOS",Choroid Plexus Papilloma,NCIT:C3698
Neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS","Neoplasm of Uncertain Behavior of Brain, Unspecified",NCIT:C197795
"Embryonal carcinoma, NOS",Germ Cell Neoplasms,Brain,Childhood Brain Germ Cell Tumor,NCIT:C5795
Primary central nervous system neoplasm consistent with high grade glioma,"Glioma, malignant","Brain, NOS",Malignant Brain Glioma,NCIT:C162993
High-grade Central Nervous System Neoplasm Favor Embryonal,"Medulloblastoma, NOS",Brain stem,Medulloblastoma,NCIT:C3222
Neuroepithelial Tumor,"Glioma, malignant","Brain, NOS",Malignant Glioma,NCIT:C4822
Glioneuronal lesion,"Neoplasm, uncertain whether benign or malignant","Brain, NOS",Glioneuronal and Neuronal Tumors,NCIT:C4747
Glioneuronal tumor,"Glioma, malignant","Brain, NOS",Malignant Glioma,NCIT:C4822
Astrocytoma,Pilocytic astrocytoma,"Brain, NOS",Brain Pilocytic Astrocytoma,NCIT:C201975
Adamantinomatous Craniopharyngioma,"Craniopharyngioma, adamantinomatous","Brain, NOS",Adamantinomatous Craniopharyngioma,NCIT:C4726
Glial-neuronal neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS",Glioneuronal and Neuronal Tumors,NCIT:C4747
"Malignant lymphoma, large B-cell, diffuse, NOS",Mature B-Cell Lymphomas,Brain,Primary Diffuse Large B-Cell Lymphoma of the Central Nervous System,NCIT:C71720
Malignant glioma,Gliomas,Brain,Malignant Brain Glioma,NCIT:C162993
Neuroepithelial Tumor,"Neoplasm, malignant","Brain, NOS",Neuroepithelial Neoplasm,NCIT:C3787
Small round blue cell tumor,"Medulloblastoma, NOS","Brain, NOS","Medulloblastoma, Not Otherwise Specified",NCIT:C129447
Low grade glioneuronal neoplasm,Dysembryoplastic neuroepithelial tumor,"Brain, NOS",Dysembryoplastic Neuroepithelial Tumor,NCIT:C9505
Anaplastic medulloblastoma,"Medulloblastoma, NOS","Brain, NOS",Anaplastic Medulloblastoma,NCIT:C92625
Atypical Teratoid/Rhabdoid Tumor,"Rhabdoid tumor, NOS",Brain stem,Atypical Teratoid/Rhabdoid Tumor,NCIT:C6906
Diffuse Glioma,"Astrocytoma, NOS","Brain, NOS","Diffuse Astrocytoma, Not Otherwise Specified",NCIT:C129277
Brain Tumor,"Glioma, malignant","Brain, NOS",Malignant Brain Glioma,NCIT:C162993
Low grade neuroglial tumor,"Neoplasm, benign","Brain, NOS",Brain Low Grade Glioma,NCIT:C201977
Neuroepithelial neoplasm,"Glioma, malignant","Brain, NOS",Malignant Glioma,NCIT:C4822
Low grade glial neoplasm,"Neoplasm, uncertain whether benign or malignant","Brain, NOS",Low Grade Glioma,NCIT:C132067
Brain Tumor,Pilocytic astrocytoma,"Brain, NOS",Pilocytic Astrocytoma,NCIT:C4047
